RUN,VAR,VAL,SE,
runSODE047,logCl_pop,1.341733405,0.02807565,
runSODE047,logV1_pop,4.214283001,0.029171286,
runSODE047,logQ_pop,1.398910738,0.099166515,
runSODE047,logV2_pop,3.883084648,0.040670216,
runSODE047,omega_logCl,0.303725961,0.020193541,
runSODE047,omega_logV1,0.30063488,0.021465008,
runSODE047,omega_logQ,0.725646446,0.109429458,
runSODE047,omega_logV2,0.337336324,0.034509509,
runSODE047,RSV,0.204782772,0.002296779,
runSODE047,RunTime,218.08,NA,
runSODE049,logCl_pop,1.356583447,0.027629981,
runSODE049,logV1_pop,4.218693316,0.028443509,
runSODE049,logQ_pop,1.341344157,0.047113956,
runSODE049,logV2_pop,3.941876091,0.03510552,
runSODE049,omega_logCl,0.300784287,0.019673375,
runSODE049,omega_logV1,0.305621026,0.020447753,
runSODE049,omega_logQ,0.376736183,0.045192651,
runSODE049,omega_logV2,0.338524513,0.028286536,
runSODE049,RSV,0.202754708,0.001835804,
runSODE049,RunTime,256.03,NA,
runSODE054,logV1_pop,4.258126144,0.0284604,
runSODE054,logQ_pop,1.325465599,0.049607876,
runSODE054,logV2_pop,3.94597825,0.049171256,
runSODE054,logVm_pop,6.999901465,0.045817138,
runSODE054,logKm_pop,5.660945581,0.076039625,
runSODE054,omega_logV1,0.300222588,0.020488675,
runSODE054,omega_logQ,0.234492756,0.054680057,
runSODE054,omega_logV2,0.366724643,0.057558618,
runSODE054,omega_logVm,0.272135977,0.027018722,
runSODE054,omega_logKm,0.472548178,0.053663161,
runSODE054,RSV,0.200161719,0.003377302,
runSODE054,RunTime,143.83,NA,
runSODE055,logV1_pop,4.284369005,0.028818829,
runSODE055,logQ_pop,0.401779576,0.063849869,
runSODE055,logV2_pop,4.012685762,0.06949235,
runSODE055,logVm_pop,7.003246739,0.039904857,
runSODE055,logKm_pop,6.273473286,0.126346888,
runSODE055,omega_logV1,0.282368401,0.021144772,
runSODE055,omega_logQ,0.323039822,0.054562282,
runSODE055,omega_logV2,0.376799484,0.098022818,
runSODE055,omega_logVm,0.216579927,0.029057213,
runSODE055,omega_logKm,0.878841558,0.101928445,
runSODE055,RSV,0.202126541,0.002240701,
runSODE055,RunTime,368.22,NA,
runSODE056,logV1_pop,4.256140884,0.027726913,
runSODE056,logQ_pop,1.329792464,0.049483687,
runSODE056,logV2_pop,3.936316059,0.038040234,
runSODE056,logVm_pop,6.913648494,0.03526699,
runSODE056,logKm_pop,5.508603349,0.047299244,
runSODE056,omega_logV1,0.295562287,0.019583502,
runSODE056,omega_logQ,0.291316424,0.049195509,
runSODE056,omega_logV2,0.327387742,0.032649819,
runSODE056,omega_logVm,0.321419064,0.026786505,
runSODE056,omega_logKm,0.362754811,0.040777652,
runSODE056,RSV,0.200044403,0.001814139,
runSODE056,RunTime,522.95,NA,
runSODE060,logka_pop,-0.131421554,0.040820989,
runSODE060,logV1_pop,4.165632182,0.033094667,
runSODE060,logCl_pop,1.356803212,0.029828268,
runSODE060,logV2_pop,3.915714151,0.037966886,
runSODE060,logQ_pop,1.623822367,0.081857669,
runSODE060,omega_logka,0.318874249,0.030231704,
runSODE060,omega_logV1,0.275390937,0.022979187,
runSODE060,omega_logCl,0.31889699,0.021877282,
runSODE060,omega_logV2,0.259904281,0.035913501,
runSODE060,omega_logQ,0.512956895,0.071424224,
runSODE060,RSV,0.197067272,0.003365409,
runSODE060,RunTime,135.37,NA,
runSODE061,logka_pop,-0.070082049,0.048024888,
runSODE061,logV1_pop,4.224325313,0.032262789,
runSODE061,logCl_pop,1.326707691,0.029556709,
runSODE061,logV2_pop,3.793149612,0.043732838,
runSODE061,logQ_pop,1.360873673,0.115946674,
runSODE061,omega_logka,0.337263285,0.038116038,
runSODE061,omega_logV1,0.253682017,0.021612497,
runSODE061,omega_logCl,0.320429092,0.020829241,
runSODE061,omega_logV2,0.294073022,0.031749643,
runSODE061,omega_logQ,0.67143016,0.093066836,
runSODE061,RSV,0.197381531,0.002209195,
runSODE061,RunTime,351.94,NA,
runSODE063,logka_pop,-0.070178924,0.036316275,
runSODE063,logV1_pop,4.215562996,0.02800298,
runSODE063,logCl_pop,1.343060782,0.028961839,
runSODE063,logV2_pop,3.883838876,0.034663493,
runSODE063,logQ_pop,1.401732701,0.073085213,
runSODE063,omega_logka,0.33591989,0.029962391,
runSODE063,omega_logV1,0.269697795,0.021676459,
runSODE063,omega_logCl,0.315560385,0.020551799,
runSODE063,omega_logV2,0.29635225,0.027838985,
runSODE063,omega_logQ,0.573312362,0.05213516,
runSODE063,RSV,0.199434805,0.001815127,
runSODE063,RunTime,457.26,NA,
runSODE068,logka_pop,-0.011698637,0.03505162,
runSODE068,logV1_pop,4.239189054,0.034665566,
runSODE068,logQ_pop,1.395390756,0.0736094,
runSODE068,logV2_pop,3.97535621,0.046739164,
runSODE068,logVm_pop,6.982818521,0.039423134,
runSODE068,logKm_pop,5.703328186,0.066681459,
runSODE068,omega_logka,0.2834825,0.029612948,
runSODE068,omega_logV1,0.335879275,0.024462367,
runSODE068,omega_logQ,0.442099276,0.075695061,
runSODE068,omega_logV2,0.289081085,0.044928296,
runSODE068,omega_logVm,0.197640616,0.02701409,
runSODE068,omega_logKm,0.404404962,0.042731403,
runSODE068,RSV,0.200935567,0.003432762,
runSODE068,RunTime,380.19,NA,
runSODE069,logka_pop,-0.020326145,0.055971078,
runSODE069,logV1_pop,4.2891794,0.033597365,
runSODE069,logQ_pop,0.73495565,0.094368056,
runSODE069,logV2_pop,3.734205589,0.0662974,
runSODE069,logVm_pop,7.261188987,0.037687612,
runSODE069,logKm_pop,6.519494773,0.09084803,
runSODE069,omega_logka,0.382296637,0.052969918,
runSODE069,omega_logV1,0.30372795,0.02425462,
runSODE069,omega_logQ,0.351475639,0.072852312,
runSODE069,omega_logV2,0.354113466,0.061471754,
runSODE069,omega_logVm,0.229743907,0.027917066,
runSODE069,omega_logKm,0.563809721,0.059210228,
runSODE069,RSV,0.201642363,0.002253295,
runSODE069,RunTime,1386.31,NA,
runSODE070,logka_pop,-0.025587505,0.033573635,
runSODE070,logV1_pop,4.235655784,0.032891914,
runSODE070,logQ_pop,1.413512462,0.067500332,
runSODE070,logV2_pop,3.959669284,0.034500397,
runSODE070,logVm_pop,6.876522579,0.029358379,
runSODE070,logKm_pop,5.531475472,0.036982086,
runSODE070,omega_logka,0.289945228,0.027141102,
runSODE070,omega_logV1,0.328116226,0.023273663,
runSODE070,omega_logQ,0.433813118,0.062424377,
runSODE070,omega_logV2,0.258856893,0.029884917,
runSODE070,omega_logVm,0.281889056,0.024815331,
runSODE070,omega_logKm,0.310396781,0.034296141,
runSODE070,RSV,0.200511711,0.001821169,
runSODE070,RunTime,1548.98,NA,
