rep,id,eta_logCl,eta_logV1,eta_logQ,eta_logV2
4,11,-0.129855975825836,0.243075074246565,-0.22276500323498,0.0376862065511322
5,11,-0.0884083089308907,0.372770402082885,-0.434980090434106,0.410603836367529
1,12,0.255553350260156,0.201617350115519,-0.263255111622459,0.679558412760013
2,12,0.275474317947169,0.160109119555236,0.108472188462105,0.27601404181865
3,12,0.173994954805634,0.1615334863118,-0.237690605819002,0.351506281829391
4,12,0.160283789349493,0.1142900997784,-0.0197736966876894,0.586334858832986
5,12,0.211961630798485,0.113296677230164,-0.102010789510988,0.357283939477409
1,13,-0.35042768707074,-0.123651915309123,0.512186476558544,-0.00760050764954071
2,13,-0.304545274587226,0.0466412113302533,0.338937694439408,-0.313464300021757
3,13,-0.33243474024488,-0.0551735296409467,0.219057041549456,0.177275598995088
4,13,-0.277384450347071,0.0150643511064636,0.148120367521179,-0.29533358537292
5,13,-0.373958345876869,-0.148809071474406,0.381171259994673,0.372854763038925
1,14,-0.530677980206296,-0.387445705551525,0.088751494029938,-0.282496236774798
2,14,-0.712367171274624,-0.435737194834914,-0.612033623995142,0.167204647701951
3,14,-0.650383860522173,-0.387329972806652,-0.493440258504507,-0.343862209594847
4,14,-0.588399894571524,-0.263427968908046,-0.468725537561791,0.00672579024661607
5,14,-0.481901402025261,-0.474059792930751,-0.37394878616004,-0.275375196094445
1,15,0.598251560473542,0.0358935690148745,0.00447807221984722,0.455147032654751
2,15,0.625274677689227,0.0338026834001561,-0.116612392673244,0.332306620109596
3,15,0.575134460734372,0.0347507050845624,-0.682420781371076,0.21636059553514
4,15,0.645218838823327,0.147672934845259,0.28363342341514,0.0591365327205139
5,15,0.728081269468738,0.0882591491517056,0.363424328522956,0.349572748755734
1,16,-0.0189712100607906,0.843761992730092,-0.440878229745161,-0.253666804544473
2,16,0.0656650017884466,0.863732001383814,-0.55572997573713,0.118600115757216
3,16,0.115033608939727,0.884221757291083,-0.453386428108611,-0.0068954423517754
4,16,0.0460354556380327,0.868954189167549,-0.170333780813744,-0.0194447502383618
5,16,0.0869088584025421,0.929097964281454,-0.112506589279246,-0.432767691920946
