"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","CL","V","Ka","RSV","OMEGA(1,1)","OMEGA(2,2)","OMEGA(3,3)","SIGMA(1,1)","seCL","seV","seKa","seRSV","seOMEGA(1,1)","seOMEGA(2,2)","seOMEGA(3,3)","seSIGMA(1,1)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8"
283,1,1,1,1,1,0,0,0,0,0,0,0,2.4,NA,FOCE_I,0:01:00,30.04,11.77,4589.86686457432,1.41136,4.27472,0.106342,0.186524,0.097065,0.0815165,0.048092,1,0.0329497,0.0363773,0.0918673,0.00879617,0.0142426,0.0177856,0.0394897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,1,1,1,1,1,0,0,0,0,0,1,0,2.1,NA,FOCE_I,0:01:00,38.61,11.3,4734.05084851823,1.39577,4.14955,-0.191029,0.184075,0.136358,0.136453,0.0550168,1,0.0384733,0.0413151,0.0747314,0.00769232,0.0220007,0.0234466,0.0475372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,1,1,1,1,1,0,0,0,0,0,0,0,2.1,NA,FOCE_I,0:01:00,38.26,14.01,4663.23001951527,1.33062,4.29265,0.0748829,0.202829,0.0905357,0.077264,0.146174,1,0.0337115,0.0364402,0.105094,0.00777574,0.0158406,0.0174649,0.0699532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286,1,1,1,1,1,0,0,0,0,0,1,0,2.1,NA,FOCE_I,0:01:00,46.82,13.84,4639.35250452046,1.45483,4.32194,-0.0368863,0.198877,0.106412,0.0866577,0.0688066,1,0.0356404,0.0359091,0.0812418,0.00916085,0.0179028,0.0234728,0.0403033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287,1,1,1,1,1,0,0,0,0,0,0,0,2.1,NA,FOCE_I,0:01:00,41.17,11.96,4599.31494762834,1.39632,4.21976,0.0442046,0.178476,0.0852374,0.0833521,0.122606,1,0.0306321,0.0355644,0.0864612,0.00746405,0.0112519,0.0142334,0.0562232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,1,1,1,1,1,0,0,0,0,0,0,0,2,NA,FOCE_I,0:02:00,42.83,11.84,4685.95113616807,1.38129,4.21145,0.0260007,0.182796,0.0994349,0.0803375,0.127342,1,0.031654,0.034493,0.0919244,0.0103493,0.0150638,0.0167013,0.0538786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
289,1,1,1,1,1,0,0,0,0,0,0,0,2.2,NA,FOCE_I,0:01:00,31.32,12.61,4657.52653356547,1.35959,4.27586,0.032796,0.192569,0.11046,0.112434,0.0733201,1,0.0371889,0.0401696,0.0874508,0.00849253,0.0199925,0.0208729,0.0545425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,1,1,1,1,1,0,0,0,0,0,0,0,2.3,NA,FOCE_I,0:02:00,45.98,14.54,4588.46721766823,1.36558,4.30465,-0.0742796,0.184482,0.106,0.126224,0.0144776,1,0.0373123,0.0425069,0.0835595,0.00777491,0.0184661,0.0202101,0.0376344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,1,1,1,1,1,0,0,0,0,0,0,0,2.4,NA,FOCE_I,0:02:00,34.84,11.35,4678.32727581546,1.42579,4.24455,-0.0487672,0.195933,0.109377,0.0882308,0.0828911,1,0.0379412,0.0344039,0.093037,0.00773223,0.0203905,0.0216276,0.0577121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
292,1,1,1,1,1,0,0,0,0,0,0,0,2.1,NA,FOCE_I,0:02:00,39.73,15.93,4645.73007065145,1.34962,4.26295,0.0961426,0.192024,0.0789483,0.084085,0.0482098,1,0.030817,0.0344076,0.0869176,0.00887273,0.0153706,0.0211193,0.0649978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
