id,eta_logka_SAEM,eta_logV_SAEM,eta_logVm_SAEM,eta_logKm_SAEM,eta_logka_mean,eta_logV_mean,eta_logVm_mean,eta_logKm_mean,eta_logka_mode,eta_logV_mode,eta_logVm_mode,eta_logKm_mode,eta_logka_sd,eta_logV_sd,eta_logVm_sd,eta_logKm_sd
77,0.394032,0.282724,-0.0349983,-0.292767,0.398051,0.302952,-0.0250185,-0.235893,0.432593,0.296232,-0.0167018,-0.200226,0.330944,0.0873393,0.123474,0.525713
78,0.252413,-0.0153436,0.0979977,-0.108688,0.284546,0.00605861,-0.079763,-0.38126,0.248366,-0.0108563,-0.153419,-0.471668,0.268564,0.0693226,0.239493,0.371443
79,-0.0736591,-0.506231,0.0485621,0.877481,-0.157465,-0.52827,0.0367459,0.645293,-0.0852251,-0.522969,0.104913,0.852551,0.411394,0.087503,0.20236,0.525433
80,-0.0594762,0.208181,-0.0970073,0.0571675,-0.0240196,0.232706,-0.115548,0.0438506,-0.101935,0.21141,-0.0737389,0.113159,0.380158,0.0781287,0.158733,0.323138
81,-0.179047,0.406481,-0.149702,0.634151,-0.209216,0.387539,-0.194549,0.508704,-0.194451,0.385066,-0.188128,0.511375,0.373182,0.0921508,0.210377,0.403058
82,0.582402,-0.0466834,-0.234438,-1.26473,0.703077,0.045583,-0.438735,-1.64602,0.588066,-0.0261706,-0.292887,-1.37275,0.205785,0.0490144,0.0312336,0.0690094
83,-0.058795,-0.0855287,0.14324,0.00869207,-0.0538128,-0.0785911,0.208881,0.19543,-0.066648,-0.120302,0.188762,0.0898365,0.367579,0.0939617,0.148107,0.46042
84,0.371033,-0.00577822,0.162866,0.435204,0.379958,-0.00268112,-0.040418,0.162204,0.343036,-0.0181841,0.0172063,0.241908,0.261064,0.0644396,0.20172,0.286416
85,-0.0532727,-0.251797,0.0162329,0.0991176,-0.00178817,-0.237176,0.0335074,0.334565,-0.0533083,-0.266679,0.0999613,0.236809,0.376834,0.110785,0.220556,0.563001
86,-0.330478,-0.441482,-0.302055,0.242657,-0.379144,-0.472234,-0.211336,0.144728,-0.366397,-0.469719,-0.197509,0.152257,0.3294,0.0865663,0.21264,0.730672
87,0.269338,0.388888,-0.0503177,0.131073,0.312626,0.341095,-0.111931,-0.0523081,0.321779,0.362566,-0.0570325,0.0758655,0.347671,0.0842491,0.160696,0.327747
88,-0.172304,0.204628,-0.109066,0.277001,-0.23582,0.157004,-0.0821506,0.153921,-0.244686,0.146234,-0.0775697,0.144678,0.398495,0.112142,0.162445,0.582232
89,0.00551064,-0.0920766,-0.0332829,0.00805312,0.0292647,-0.111403,0.0372122,0.0313207,0.0222943,-0.112291,0.03524,-0.0320607,0.331213,0.0830232,0.167956,0.664307
90,-0.310025,0.200771,0.105087,-1.17561,-0.302844,0.196795,0.0401764,-1.26132,-0.259672,0.230414,0.00229875,-1.33203,0.161565,0.066438,0.0945097,0.15248
91,0.148362,0.212432,0.292317,-0.125815,0.198647,0.227392,0.128403,-0.422052,0.192563,0.218772,0.151126,-0.379095,0.24666,0.057101,0.103735,0.195394
92,-0.0727517,-0.167824,-0.222488,0.418424,-0.0762327,-0.20726,-0.197616,0.261079,-0.0716744,-0.208151,-0.183164,0.31639,0.364936,0.115223,0.159544,0.643687
93,-0.0516588,-0.316446,0.270478,-0.40361,0.102747,-0.242469,0.0945987,-0.672482,0.0691786,-0.243059,0.0709234,-0.702052,0.148674,0.0581622,0.13944,0.20084
94,-0.060273,-0.523019,0.036414,0.195694,-0.0274293,-0.479369,-0.0264635,0.400205,-0.0626229,-0.494837,0.0327576,0.372241,0.358682,0.095516,0.222914,0.572076
95,0.138178,0.333831,0.11588,-0.115267,0.110616,0.321478,0.0105529,-0.479736,0.155646,0.303185,0.0503967,-0.412508,0.329942,0.0964661,0.12238,0.484783
96,0.0954084,-0.0480022,0.419502,0.0773592,0.0809437,-0.0281416,0.225315,-0.255504,0.126364,-0.0294419,0.283998,-0.156633,0.253611,0.0508712,0.0816969,0.149369
97,0.208545,0.0420797,-0.246788,0.65593,0.227388,0.0858417,-0.133666,0.889091,0.232049,0.0197705,-0.273058,0.547068,0.334528,0.101824,0.307605,0.626581
98,0.170002,0.350793,0.214419,-0.249249,0.0935884,0.328054,0.218935,-0.240215,0.166685,0.34395,0.140326,-0.349794,0.283766,0.0824246,0.20428,0.274519
99,-0.347874,0.0317619,-0.0182609,0.405508,-0.185025,0.0449124,-0.0168572,0.386929,-0.280805,0.0331668,0.0406532,0.43924,0.36438,0.0867264,0.254902,0.624032
100,-0.1637,-0.0876714,-0.0845885,0.489264,-0.246624,-0.0709264,-0.113271,0.580092,-0.246411,-0.102857,-0.038717,0.500086,0.365295,0.0683233,0.18204,0.544462
101,-0.054532,0.354208,0.365946,0.103465,0.0295764,0.364725,0.326577,-0.0234258,-0.0300472,0.329915,0.287574,-0.129648,0.268167,0.0706154,0.149134,0.450813
102,-0.0108995,0.388215,0.643575,-0.562702,0.161604,0.499255,0.292756,-1.04397,0.118675,0.473902,0.350497,-0.964089,0.16221,0.0495487,0.0883436,0.117916
103,-0.0220159,0.265175,-0.101502,-0.0320057,0.00330428,0.306177,-0.108456,0.0821378,-0.0777691,0.240942,-0.0806214,-0.0663214,0.350663,0.0933414,0.156227,0.491718
104,-0.027455,-0.254418,-0.453718,0.712491,-0.00500375,-0.202332,-0.362693,1.00144,-0.0192535,-0.227217,-0.345825,0.970731,0.325791,0.0715923,0.224138,0.460891
105,0.0909414,0.213076,0.136232,-0.184128,0.134785,0.215685,-0.00502213,-0.449656,0.126925,0.204825,-0.0433028,-0.52503,0.282174,0.0700232,0.128999,0.2771
106,-0.0117343,0.229968,-0.00563381,-0.0498542,-0.0188716,0.238345,-0.00268537,0.0225871,0.00583207,0.209264,0.0450065,-0.178976,0.344421,0.10253,0.187115,0.683483
107,0.0446491,0.334451,0.0460985,0.365458,-0.0406818,0.294694,-0.0102751,0.132753,-0.0152042,0.288931,-0.0327835,0.0138449,0.355094,0.108491,0.140586,0.392457
108,-0.0508219,0.138125,-0.0384799,0.00669864,-0.105403,0.086867,-0.0288912,-0.177773,-0.125669,0.0826075,-0.007095,-0.0955302,0.326517,0.107105,0.132354,0.563656
109,-0.108841,-0.138209,-0.0771499,0.136681,-0.111,-0.105451,-0.108734,0.296487,-0.159963,-0.135131,-0.0479754,0.191769,0.322523,0.086626,0.204939,0.766259
110,-0.218663,0.180127,0.233101,-0.635842,-0.174236,0.190287,0.176169,-0.714163,-0.139244,0.235521,0.00726771,-0.960998,0.169514,0.0544686,0.13649,0.187218
111,-0.167843,0.456831,0.0250874,-0.29297,-0.141379,0.456049,0.201646,-0.0668401,-0.20967,0.428791,0.0158789,-0.308647,0.289934,0.08302,0.229897,0.305493
112,-0.0166872,-0.0810179,-0.0904867,-1.07967,-0.0327694,-0.0910295,-0.0624114,-1.01469,-0.052172,-0.0855176,-0.103079,-1.11288,0.194689,0.0516746,0.0622762,0.155873
113,0.20786,-0.0436417,-0.207535,0.325799,0.219313,-0.0279996,-0.0892415,0.520772,0.169113,-0.0470998,-0.151391,0.425157,0.322979,0.0807334,0.168434,0.242193
114,-0.361475,0.154142,-0.284851,-0.0209835,-0.303989,0.124741,-0.18188,0.0851798,-0.332557,0.0939559,-0.203043,-0.0902132,0.318626,0.113556,0.236262,0.708765
115,-0.0622072,-0.311784,-0.309763,0.279457,0.0968166,-0.328841,-0.303143,0.0938152,-0.0203873,-0.374332,-0.255459,0.0898621,0.417881,0.121941,0.17089,0.784256
116,-0.718649,0.279413,-0.108614,-0.102761,-0.719332,0.293412,0.0802626,0.223085,-0.784464,0.257906,-0.0385664,0.0221195,0.324373,0.114141,0.302188,0.564158
117,0.178063,0.0945738,-0.0388871,0.103802,0.179008,0.0837938,0.0141953,0.0751571,0.162253,0.0824015,-0.00547582,-0.00338977,0.36211,0.0755498,0.176609,0.732755
118,0.064564,0.234664,-0.137628,0.110806,0.054514,0.213318,-0.0940556,-0.0359594,0.0699113,0.205434,-0.0478759,-0.0356277,0.361004,0.094629,0.215288,0.612432
119,-0.185417,0.202394,0.00612396,-1.07669,-0.176718,0.210545,-0.0131795,-1.13667,-0.174514,0.209589,-0.0193676,-1.14504,0.203815,0.0721894,0.0882488,0.227317
120,0.498343,-0.328543,0.0211469,-0.0887155,0.510886,-0.304983,-0.109892,-0.278726,0.552832,-0.291877,-0.190768,-0.403954,0.267811,0.0710372,0.139524,0.210682
