rep,id,logV1,logQ,logV2,logVm,logKm
2,12,4.29155696058376,1.55874027228072,4.11462342920389,7.09885043140304,5.48443552408841
3,12,4.35737595493041,1.3189104740458,3.97131846805649,7.13645916603524,5.58657184757474
4,12,4.37602112549067,1.23925667470844,3.67141309099401,7.13510768839649,5.54052835868629
5,12,4.31654117089773,1.26646353050882,3.95656001781758,7.16442318123566,5.58287092431087
1,13,4.04797830508981,1.51531825605612,3.94435407435952,7.31955901104655,5.56567881829705
2,13,3.90601942717358,1.43003243327243,4.16692106737317,6.9287829533184,4.23790477453118
3,13,4.02131954647241,1.42238367147341,3.93596514175737,7.25530614283829,5.21812173400274
4,13,4.04318988188551,1.69158215763927,3.77550570754914,7.21607733056527,5.36417946502299
5,13,4.01654879123737,1.34073772012832,3.7625649499636,7.37621379585908,5.55928064847397
1,14,4.34796142987016,1.3061923273398,3.77677580041581,7.11761370827996,5.54552582369351
2,14,4.45221034690448,1.05220262982942,4.12588728695443,6.9306530649882,5.19560638099983
3,14,4.38410846567833,1.35211656916867,4.43609270962743,6.84648577762006,5.76971782665765
4,14,4.34262704535695,1.73991755113343,4.44899570242775,6.75741179951658,5.77112773597556
5,14,4.39776580832633,1.34521987449173,4.50016909898768,6.49099890894842,5.2987202622675
1,15,4.52355277593437,1.0273773084748,3.80432642711291,6.72853762459564,5.45418499987304
2,15,4.58756402398281,1.33562685452461,3.81851983996935,6.73704390002263,5.43691627574983
3,15,4.57392217315473,1.02735151594042,3.31695612121573,6.75206131557474,5.50573022692379
4,15,4.4836341799031,1.94924442207206,3.80306282830677,6.72698952663679,5.36077530076822
5,15,4.4047768954447,2.01567901159736,3.60839771509773,6.62691530948179,5.22721501524679
1,16,4.35176523915085,1.42887639482263,3.28361505263257,6.67363943093188,4.64635816795689
2,16,4.47428326317994,1.42081964186271,3.26289553349765,6.51750119263302,5.52286846980768
3,16,4.34667368189228,1.45424905013349,3.51609202092622,6.54782169782462,5.92707749417181
4,16,4.23645753404458,1.50705710224954,3.62754322263903,6.55012252126769,5.11961208605852
5,16,4.33681212823396,2.0557573334574,3.23132623211007,6.93072358245985,5.35480569598215
1,17,4.19035829022099,1.52222979057565,3.7040972826802,7.64021041125313,5.41565374185623
2,17,4.18611162181531,1.43365784946801,4.24823913009569,7.35059645720753,5.03212039918195
3,17,4.12373352037645,1.42171999791709,4.07447158038998,7.58045238512801,5.58032685602445
4,17,4.13397048791734,1.59110336015794,3.8342364269421,7.71090597092582,5.62447864249106
5,17,4.18162381644767,1.35524282698593,3.74763351933195,7.65469621202706,5.51408176001855
1,18,4.35756354887691,1.30077836389777,3.82100624873563,7.05437229047031,5.19168401093061
2,18,4.40977586326037,0.620103600623735,3.78295988190141,7.04814168326081,5.19709744463726
3,18,4.36774113225858,1.2120125028931,3.94849899276429,7.02393369934405,5.13854856322997
4,18,4.3399479625258,1.06937507901813,3.78103092985778,7.13504585200161,5.32981501721384
5,18,4.40358315474316,1.16803701127146,3.80795713038855,7.20644380658044,5.39896034658105
1,19,5.19074041851661,1.92165239820081,4.21827799520535,6.96662060548311,5.91016724543502
2,19,5.15299300661272,1.81912919197547,4.41136997715965,6.88321609810431,5.83757511129249
3,19,5.16579253101295,1.6443557788018,4.30902960503048,7.14819913342405,6.27841166180734
4,19,5.20157982714489,1.45801373603506,3.89208940845599,6.76211935541534,5.25427155346725
5,19,5.28997076502329,1.49548218624543,3.36920694148532,6.79806085497031,5.38620146327543
1,20,3.86636665632964,0.777082187614701,4.05785702679255,6.79284372534156,5.25147900000027
2,20,3.88870913996802,0.849157542479147,3.92032075663057,6.85912368095793,5.3787699001318
3,20,3.80309528485348,1.05175165333925,3.91865533916713,6.9568967674654,5.44502636773942
4,20,3.78045259932502,0.86497346805635,4.1726683662538,6.6875659894881,4.65550327033641
5,20,3.82628815296799,0.802947684475952,3.52263872387402,7.09806125755658,5.29787385170916
1,21,4.14422100751452,1.70272800722206,3.70753972379835,7.22334608588547,5.63928094608572
2,21,4.36213608526162,0.81678484963515,3.51977253142264,7.00774811374895,5.19057729697704
3,21,4.29254843615197,1.54915786789843,3.78300024393151,7.1029962422644,5.50866458435269
4,21,4.35469644602311,1.19803909064948,3.89718226030965,7.1302845149504,5.6290077554493
5,21,4.19933924628285,1.24909079128749,3.8136118612801,7.06731503691838,5.31929340459412
1,22,4.68398884663084,1.48430492655818,3.79202481934284,6.41907547925987,5.71694343465245
2,22,4.64020177436092,1.14754388854642,3.89493923930515,6.54294469901148,5.62424718301692
3,22,4.6527907306177,1.66706888379734,3.9258983919341,6.48981799650952,6.06962307490616
4,22,4.56232141602101,1.28356391271646,4.09768127440043,6.4160829311365,5.40973302721122
5,22,4.58653190069388,1.31366500967056,3.89952206961144,6.53893205553263,5.76060680993367
1,23,4.16684482604412,1.2127957126238,3.84861545715446,6.46873395704169,5.17506977909432
2,23,4.07376279161638,1.1311892686667,3.86753419828978,6.44796715244812,5.16874371498033
3,23,4.1170272144716,1.51000573779384,3.83378625200129,6.78205368731527,5.66657788641335
4,23,4.08960775208419,1.42748690704691,3.95784410046166,6.65622371317616,5.53425465937583
5,23,4.02635528803316,1.18544172852429,3.91620930851994,6.75687596030044,5.65303670343616
1,24,3.89065518492913,1.27439106842992,4.19045967796824,6.99337356335975,5.49506663113689
2,24,4.07051954380496,1.30069202716985,3.99831829905308,7.00897081564265,5.56566790414635
3,24,4.05132502555743,0.902991546565526,3.99860907253023,7.09183271664181,5.59126260856062
4,24,4.01327570233964,1.16376875486805,4.18636448746503,6.85381689972441,5.51621275820912
5,24,3.99467333178753,1.18689103081106,4.09312057432203,6.95470540080368,4.93862635737145
1,25,3.84818989649297,0.933310062936047,4.20328197941681,6.96792981705791,5.26707852566241
2,25,3.97115897777358,0.866470564890921,4.36939898669443,7.03086089774074,5.33183762581989
3,25,3.88818054630656,1.0292360081261,4.19070117786164,6.96652121582636,5.19592854772468
4,25,3.97961355316664,0.996073184974328,4.19472658936798,6.90511921551301,5.12595836279892
5,25,3.83790234523557,1.2128980270258,4.28132974099606,6.77784178361129,4.94484179622217
1,26,4.28089903057666,1.30152594799176,3.36655283332262,7.11133305493185,5.99667491871382
2,26,4.42490951631173,0.981511448557367,3.24359158215956,7.05604682294796,6.09503069227108
3,26,4.15952911483099,1.21360880707773,3.80603236427695,6.81529385474446,5.46773205000525
4,26,4.30564844406981,0.902418078222529,3.89721796375695,6.81087171032512,5.46420471116619
5,26,4.42142780168819,1.00882705002438,3.66467679781361,6.8649286619919,6.04656613131249
