rep,id,eta_logV,eta_logCl
4,36,-0.348603955267832,-0.155908753314091
5,36,-0.33003112558529,-0.101247769394306
1,37,-0.301317066943721,0.180646168536828
2,37,-0.280878707301723,0.19787595587934
3,37,-0.284817233260003,0.194312592761057
4,37,-0.22186828188353,0.241056568533007
5,37,-0.220037552128365,0.232196949689305
1,38,-0.136530927145236,0.479871365166768
2,38,-0.15680175597448,0.467849206404337
3,38,-0.135455939681641,0.47376052502045
4,38,-0.112410784074894,0.514419850577947
5,38,-0.120222362942482,0.505331108908279
1,39,-0.00860256122475264,0.184340892829368
2,39,0.0642992752763975,0.254032078450444
3,39,0.0830343615925412,0.277740406589068
4,39,-0.0391190621898814,0.183985730810267
5,39,0.0106172073917492,0.18793851124621
1,40,0.564426175618148,-0.0960789830117734
2,40,0.53814890040138,-0.11901616174844
3,40,0.518995084309358,-0.106161504336311
4,40,0.62535053274541,-0.116975740278529
5,40,0.596828868619929,-0.139601771662681
1,41,0.0964815384241709,-0.127464926220065
2,41,0.099395888016627,-0.122750195301382
3,41,0.0743594991652424,-0.157214504190657
4,41,0.0396579568399056,-0.169466104666804
5,41,0.0705382612262051,-0.148774014452624
1,42,0.0793572752883479,0.192190125030712
2,42,0.184580547297271,0.282014321312134
3,42,0.146866270919697,0.252363497069816
4,42,0.123489441928277,0.247016170330699
5,42,0.1947042635236,0.263445145535959
1,43,-0.135284986899121,-0.360611668270096
2,43,-0.114650081588709,-0.323667704431355
3,43,-0.155311112030278,-0.343456712905386
4,43,-0.117901446019967,-0.355532848478578
5,43,-0.113954215185029,-0.345692258466639
1,44,0.582664157604956,-0.180774281030433
2,44,0.61925651707129,-0.163402492834671
3,44,0.567888549403334,-0.153675196398912
4,44,0.571648318712301,-0.126925526842795
5,44,0.550380444749358,-0.18296527651838
1,45,-0.485973169869597,0.0199016044306256
2,45,-0.477032775323703,0.00122767072864164
3,45,-0.47402608697047,0.0163403151035144
4,45,-0.482367011179999,-0.00725158753265463
5,45,-0.521809081848628,-0.0332840287027887
