rep,id,eta_logV1,eta_logQ,eta_logV2,eta_logVm,eta_logKm
2,24,-0.272358270480317,-0.417015685194997,0.489989274279703,-0.441391628114195,-0.81263780671857
3,24,-0.158467601865535,0.288250059907245,0.128985102588863,-0.0760217642535555,-0.205573741057842
4,24,-0.273751962448511,-0.402150809016445,-0.0246623600349312,0.342449842047054,0.282928279540059
5,24,-0.183662120944313,-0.157247468840927,0.361505931705312,-0.172520819742369,0.0549728652985896
1,25,-0.337960935239468,-0.278810801739479,0.021242259586866,0.312532393985876,-0.0394687190544824
2,25,-0.440299741035761,-0.455570837062323,-0.0478276650698677,0.25913457447051,-0.0767998234757305
3,25,-0.401952614709092,-0.481292044536506,0.0870809869496263,0.0952858907841145,-0.260192278972067
4,25,-0.38171797289837,-0.296517139009035,0.135351875054761,-0.0198524427260611,-0.400793198920399
5,25,-0.261290353269197,-0.335448765411266,0.344478009461741,-0.194555187514287,-0.671798299868392
1,26,0.0752849823043141,0.366744177126902,-1.14291672649242,0.185590371799045,0.271126747798122
2,26,0.112527659650262,-0.0928165716402192,-0.415509990245363,0.05074703256801,0.236700859939239
3,26,0.145532644535552,-0.167781202350506,-0.219763863820704,0.346120034001594,0.6040767349816
4,26,-0.0614958506909315,-0.140350482697927,-0.126715759398753,-0.0565109475121897,0.231219131755467
5,26,0.0730393685497867,-0.150317522707688,-0.835794357605627,0.266051535252609,0.451509002249784
1,27,0.354491726568642,-0.353812153972919,-0.357090234324809,-0.382077621206552,-0.0174390871485589
2,27,0.415181441205582,-0.63184353321412,-0.503653471593041,-0.338884350997974,0.081111788825415
3,27,0.270634127156337,0.318169454859174,-0.163238073484351,-0.0731404007170633,0.0371356167559331
4,27,0.500387898333112,-0.130423021619383,-0.576136032369748,-0.0865213030435915,0.429689261502738
5,27,0.378419115713989,-0.0195110982659496,-0.104909003800354,-0.91748947924787,-0.211101060442821
1,28,-0.350693766747384,0.0547051696867628,-0.0640782982486161,0.314048330327252,-0.395147783438403
2,28,-0.303439709265043,-0.292541065077053,0.284680629065957,0.295683990707183,-0.486463944499061
3,28,-0.307534244772768,-0.27497598071328,0.360261178984052,0.303659169927829,-0.497326362018337
4,28,-0.361827768816325,-0.0322223351622581,0.0556987258691557,0.328875308185458,-0.450038875946714
5,28,-0.437400478513334,0.0805033623398108,0.496159958886427,-0.0445377479360523,-1.13408505895165
1,29,0.261860839128984,-0.107934899100492,-0.200002432488021,0.120202427383611,0.86539984215364
2,29,0.230221789701555,-0.109353905473169,0.0163262999160226,-0.361691830143797,0.305798990009667
3,29,0.132186101453587,-0.00383441621687388,0.201808417457214,-0.363692711036582,0.109418765462603
4,29,0.169362119285895,-0.0637504841179504,-0.198821193477051,-0.0876360835016273,0.0518043805597779
5,29,0.210972869934668,0.0842763440447878,-0.466434209564366,-0.428537986033316,-0.620721853684459
1,30,0.113959110626628,-0.260064168750406,0.0732252824025958,-0.0394629377807338,0.554384927279145
2,30,0.099566985424162,0.229488163142436,-0.360675756845951,-0.298210277786519,-0.0730094963597684
3,30,0.0854445490789314,0.102850617638648,-0.0819098677215625,0.0898072334426199,0.635659771998245
4,30,0.0807735660825732,0.451964516676113,-0.603719877247927,-0.0469175222643826,0.145951843317026
5,30,0.0418108248066219,-0.357108420418408,0.0576474959620184,-0.238832796441338,-0.116343871937522
1,31,0.0365210799397337,0.119474242198725,-0.308762825346782,0.159121778905069,0.161717984486283
