rep,id,eta_logV,eta_logVm,eta_logKm
1,15,0.135530030292016,-0.269117929165482,0.507849633790507
2,15,0.0938889768088213,-0.466932057564862,0.069345175672011
3,15,0.0557954825960047,-0.111999428887026,0.545853720749419
4,15,0.064719036204395,-0.160800165203483,0.516333370327097
5,15,-0.00716662154835326,-0.419626388743236,0.283489706563575
1,16,-0.30683130113363,0.0167160024163927,-0.165021390025579
2,16,-0.295141890108203,0.0497549918552414,-0.108138220392634
3,16,-0.4229094898895,0.0823013773727807,0.114463834193675
4,16,-0.33461064136882,0.0382773273132092,-0.0397245099700417
5,16,-0.283350499163031,0.10157667111583,-0.033615640036773
1,17,-0.0584106227598006,-0.0713600849897644,-0.383890368430998
2,17,-0.0485819506309045,0.15954403751752,0.38966481417381
3,17,-0.0257723129864185,0.12926403202397,0.106509297278908
4,17,-0.00965670042332248,0.0294551915994053,0.369710314298073
5,17,-0.0428511285585692,-0.0550245663348759,-0.260622757436829
1,18,0.0402061726928924,-0.464307269536904,0.388742442399593
2,18,0.10979611060108,-0.623591211647461,0.111510872508932
3,18,0.0987456468390009,-0.681694324210147,-0.0743634327078105
4,18,-0.0573313514580997,-0.278352968941894,0.406832097005748
5,18,-0.0246096316570476,-0.377721493077949,0.474105844869307
1,19,-0.254871733336215,-0.130334375643541,0.362927204728896
2,19,-0.196886866806831,-0.406581071053769,0.0610081048850245
3,19,-0.142518868244327,-0.33390244252595,0.0244088420863714
4,19,-0.186461330061058,-0.483656367738302,-0.00394154863442675
5,19,-0.128758631739946,-0.307992294062317,0.0560665571344244
1,20,-0.206900111401773,-0.28693977419309,0.0896013016935671
2,20,-0.28526384695062,-0.221827696598918,0.202008557483145
3,20,-0.214039994316807,-0.0894187096920157,0.511596455174621
4,20,-0.141833206120278,-0.320728615808502,0.268809764563513
5,20,-0.22956508325213,-0.403994060943112,-0.0988800476799137
1,21,-0.388275300954143,-0.262458922002667,-0.258949756236295
2,21,-0.314607612974694,-0.216063943571463,0.0331711476010864
3,21,-0.376832916872758,0.0167531026143923,-0.00791168133185496
4,21,-0.321840582638264,-0.0413199070484107,0.202089189090607
5,21,-0.363965954447405,0.110673811518634,0.218391457909817
1,22,-0.236831988945329,0.0865295477683055,0.161520012668557
2,22,-0.264903539214034,0.117015485726905,0.220020201832447
3,22,-0.219687199277245,0.105434140001501,0.156075760901716
4,22,-0.118565818206786,0.0664039375652784,0.034024139044528
5,22,-0.25689478358905,0.0577966416121976,0.141507191967045
1,23,0.0294250761907771,-0.376022549037575,0.338219860024595
2,23,0.0664969706970559,-0.155044979825812,0.0944756794082774
3,23,0.020848261380092,-0.17127949198799,0.0418678296677724
4,23,0.0249915716160374,-0.281548495525905,0.16695540441764
5,23,0.083839736917912,-0.276208781970264,0.135607699318258
1,24,0.0764018058208343,-0.363621035451265,-0.354539663395293
2,24,0.0569980895584143,0.0326250518861126,0.398137897149579
3,24,0.0865671564331762,-0.225559706325259,0.123751297458782
4,24,0.114829416545736,-0.0158350835617,0.287799640928585
5,24,0.073204264774866,-0.0453311071520944,0.319580748855839
1,25,0.0705664159523736,-0.0730013148639877,0.563765123801306
2,25,0.0127981890560902,-0.0625144445546753,0.181868042477399
3,25,0.131037449147733,-0.21559105789324,0.0963089874471934
4,25,0.124969131453705,-0.665551206181998,-0.302153253976903
5,25,0.0190232939959839,-0.236851013587888,0.0991383734824673
1,26,0.0762148244009095,0.291070976485032,-0.14930966739709
2,26,0.0742217416731616,0.333304168195008,-0.0922407123951062
3,26,0.0749337131896066,0.698625311618747,0.309518368654686
4,26,0.140626738656573,0.189363341399651,-0.309228581796367
5,26,0.0352554965972712,0.371659036576714,-0.00815489527846557
1,27,-0.00838561967268298,0.283708986291071,-0.190986785022465
2,27,-0.0554532428475977,0.306656246781072,-0.197034911134247
3,27,-0.0412495922239487,0.200732795099807,-0.370935333855529
4,27,0.0449515432912579,0.260875963742057,-0.331006535920692
5,27,0.040307112040558,0.226417282247884,-0.336866585849135
1,28,0.146168737513466,0.261300745762039,-0.199573898204194
2,28,0.225482222832717,0.246259813861556,0.177697912817456
3,28,0.240922786833308,0.350485725648067,0.0603268577799564
4,28,0.0469979292355193,0.419625049245267,0.259898889585359
5,28,0.249861934627611,0.290645951038676,0.487306359508458
1,29,-0.235387228140078,0.122275008689215,-0.0695280954550352
2,29,-0.221701620760867,0.115202745345279,-0.0702604297636252
3,29,-0.3006551964693,0.0150300912070749,-0.0709742229684883
4,29,-0.264686307040663,0.300046502736066,0.184572901912094
5,29,-0.360453393529746,0.140856829166932,0.0836020923087615
1,30,-0.238763750851864,-0.22539162296602,0.545384852202599
2,30,-0.337857888256536,0.110571749199507,0.776597796963637
3,30,-0.305495997419135,-0.491652079091938,-0.313868256986996
4,30,-0.220891070940993,-0.274127067387621,0.102984021222917
5,30,-0.242779591515044,-0.416246378814101,-0.0301530658022843
1,31,-0.212295231930151,0.20476190366678,0.240182806844612
2,31,-0.199662935705138,0.0774727560393634,-0.115619733455216
