rep,id,logV,logVm,logKm
1,16,3.94746149164664,6.98541891900681,5.45010381398276
2,16,3.95915090267207,7.01845790844566,5.50698698361571
3,16,3.83138330289077,7.0510042939632,5.72958903820202
4,16,3.91968215141145,7.00698024390363,5.5754006940383
5,16,3.97094229361724,7.07027958770625,5.58150956397157
1,17,4.19588217002047,6.89734283160065,5.23123483557734
2,17,4.20571084214936,7.12824695410794,6.00479001818215
3,17,4.22852047979385,7.09796694861439,5.72163450128725
4,17,4.24463609235695,6.99815810818982,5.98483551830642
5,17,4.2114416642217,6.91367835025554,5.35450244657151
1,18,4.29449896547317,6.50439564705352,6.00386764640793
2,18,4.36408890338135,6.34511170494296,5.72663607651727
3,18,4.35303843961927,6.28700859238027,5.54076177130053
4,18,4.19696144132217,6.69034994764853,6.02195730101409
5,18,4.22968316112322,6.59098142351247,6.08923104887765
1,19,3.99942105944406,6.83836854094688,5.97805240873724
2,19,4.05740592597344,6.56212184553665,5.67613330889337
3,19,4.11177392453595,6.63480047406447,5.63953404609471
4,19,4.06783146271922,6.48504654885212,5.61118365537391
5,19,4.12553416104032,6.6607106225281,5.67119176114277
1,20,4.0473926813785,6.68176314239733,5.70472650570191
2,20,3.96902894582965,6.7468752199915,5.81713376149149
3,20,4.04025279846346,6.8792842068984,6.12672165918296
4,20,4.11245958665999,6.64797430078192,5.88393496857185
5,20,4.02472770952814,6.56470885564731,5.51624515632843
1,21,3.86601749182613,6.70624399458775,5.35617544777205
2,21,3.93968517980558,6.75263897301895,5.64829635160943
3,21,3.87745987590751,6.98545601920481,5.60721352267648
4,21,3.93245221014201,6.92738300954201,5.81721439309895
5,21,3.89032683833287,7.07937672810905,5.83351666191816
1,22,4.01746080383494,7.05523246435872,5.7766452166769
2,22,3.98938925356624,7.08571840231732,5.83514540584079
3,22,4.03460559350303,7.07413705659192,5.77120096491006
4,22,4.13572697457349,7.0351068541557,5.64914934305287
5,22,3.99739800919122,7.02649955820262,5.75663239597539
