rep,id,eta_logka,eta_logV,eta_logVm,eta_logKm
4,21,-0.363361883482128,0.611281087961601,0.203455491379719,-0.448460490217013
5,21,-0.612332072933436,0.320321482271398,0.297239558879371,-0.152653671391348
1,22,0.523561802888504,0.224021612014375,-0.759771146136205,-0.418431634459784
2,22,0.282678441796705,0.114117747829081,-0.146681688900743,0.659318963278737
3,22,0.404987055446613,0.0269253116303451,-0.336455291072112,0.267703550524559
4,22,0.0874181414292327,0.0328329536033134,-0.203333488256815,0.353370286517894
5,22,0.439373148561194,0.226466347404566,-0.259112757552682,0.553407293784053
1,23,-0.439734551417399,-0.282926026785597,-0.0128865588900258,-0.229909487954135
2,23,-0.339608172459742,-0.195684054989015,0.132608963150129,-0.119598590337231
3,23,-0.494961996820183,-0.288057021562398,0.236669233898915,0.0775043355555458
4,23,-0.347698830452164,-0.295224392822093,0.238966668824133,0.0848407652655249
5,23,-0.48727734885407,-0.316857173925307,0.326076765501621,0.196084425704013
1,24,-0.0794998318829912,-0.30494773435108,-0.360083093578072,0.235120769224098
2,24,0.0690321060717236,-0.284064929522981,-0.562507641671106,-0.344740637140327
3,24,-0.191492609412577,-0.386004730008834,-0.569019832988658,-0.432604683071189
4,24,-0.0301247981790009,-0.2777868942049,-0.68666006256,-0.522721985408915
5,24,0.136075626081563,-0.248103382111256,-0.228138395523959,0.649799992310352
1,25,-0.255773764860058,0.649674528023984,0.0405548522327448,-0.438231236529562
2,25,-0.326183447985604,0.519902580623222,-0.0354431752489922,-0.491103181059378
3,25,-0.07178675705885,0.721361687119592,0.22430907223449,-0.061316734818888
4,25,-0.146646495488014,0.622427385410626,0.021677683039864,-0.193063671662588
5,25,-0.403168253443362,0.464469550945557,-0.0530071206851817,-0.310733607402724
1,26,0.426359891410127,0.277265868269866,0.149400611040604,0.38679659440315
2,26,0.288936855056616,0.346788491747019,-0.0358192959885057,-0.0645028627550504
3,26,0.304276279730704,0.318124880963871,-0.0693668396445914,-0.286592182752053
4,26,0.0683696276744455,0.20756968171597,0.100143215549319,0.0601734045730681
5,26,0.265304050660798,0.30216229367811,0.109869590853933,0.023918176481514
1,27,0.351594165272082,0.186567055566065,-0.326342537085927,0.112187352845407
2,27,0.269995079173348,0.169676237021503,-0.412475240756686,-0.31423864310484
3,27,0.324705701864698,0.173828827373004,-0.187645923626296,0.283814966608719
4,27,0.307882312143544,0.156614948775273,-0.368351819628487,0.0967776821320482
5,27,0.336482476177704,-0.0240416989895125,-0.355142804463959,-0.023310307517605
1,28,0.286828644872984,-0.747635016390622,0.14711594450375,0.133428679656271
2,28,0.350805612257802,-0.707445814732262,0.0816490970801476,0.064089476543712
3,28,0.268427186122998,-0.738684969389574,0.0688383967776391,0.0947691525255138
4,28,0.446563843238833,-0.5866179337007,0.170915933402598,0.0365024133925561
5,28,0.516916063782508,-0.683457750943559,0.0994247545924225,0.0330108797269819
1,29,0.0617168306511961,-0.221881494228663,-0.303389129135539,-0.275371871044718
2,29,-0.0516241494726026,-0.242990414590578,-0.342544151895817,-0.150520963594625
